ProteinGroup	KEGGNumber	SecondOrganisms	ThirdOrganisms	GenusNCBI	KEGGGene	KEGGScore
ED15A_GL0082445		Bacteria	Clostridia	Enterocloster	cbol:CGC65_20610	769.229
ED20A_GL0039802		Bacteria	Bacteroidota	Prevotella	pher:prwr041_21290	192.971
Fungitr.E7NKC5.E7NKC5_YEASO		Fungi	Ascomycetes	Verticillium	vda:VDAG_05595	248.44
HM403CO_revised_scaffold142_2_gene34425	K01893	Bacteria	Clostridia	(no genus)	bprm:CL3_03220	842.417
HM403CO_revised_scaffold3899_2_gene43346	K00927	Bacteria	Clostridia	(no genus)	bprs:CK3_33090	695.656
HM415TI_revised_scaffold27291_1_gene77074	K01596	Bacteria	Actinomycetota	Schaalia	amy:ADJ76_08670	398.282
HM437CO_revised_scaffold36926_1_gene1102	K00266	Bacteria	Clostridia	Lawsonibacter	lasa:L9O85_10880	311.612
HM438CO_revised_scaffold45904_1_gene74669	K03737	Bacteria	Clostridia	Vescimonas	vfa:MM35RIKEN_18150	325.479
HM466CO_revised_scaffold71503_1_gene21138	K03553	Bacteria	Bacteroidota	Bacteroides	bth:BT_4610	597.045
HM494TI_revised_C961297_1_gene41203	K00939	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_09680	112.849
HM494TI_revised_scaffold22508_12_gene231958	K04043	Bacteria	Clostridia	Subdoligranulum	svj:NQ490_12170	787.334
HM494TI_revised_scaffold67459_1_gene54744	K03442	Bacteria	Bacteroidota	Bacteroides	bth:BT_2389	379.793
HM494TI_revised_scaffold75696_1_gene174760	K11176	Bacteria	Clostridia	Dorea	dlo:K5I24_15075	382.489
HM503CO_revised_C360503_1_gene47121	K01464	Bacteria	Clostridia	Mediterraneibacter	rto:RTO_03550	378.637
HT14A_GL0104544	K03737	Bacteria	Clostridia	Emergencia	etm:CE91St48_36820	1941.01
HT14A_GL0126877	K04077	Bacteria	Clostridia	Caproicibacterium	caml:H6X83_03050	303.523
Human_swiss_sp|A0A0A0MS15|HV349_HUMAN		Animals	Mammals	Cebus	cimi:108298707	207.223
Human_swiss_sp|A0A0B4J1V0|HV315_HUMAN		Animals	Mammals	Mandrillus	mleu:105537377	218.394
Human_swiss_sp|A0A0B4J1Y9|HV372_HUMAN		Animals	Mammals	Cebus	cimi:108298707	210.305
Human_swiss_sp|A8K7I4|CLCA1_HUMAN	K05027	Animals	Mammals	Pan	ptr:456640	1794.63
Human_swiss_sp|O00391|QSOX1_HUMAN	K10758	Animals	Mammals	Pan	ptr:457558	1473.76
Human_swiss_sp|O00754|MA2B1_HUMAN	K12311	Animals	Mammals	Pan	ptr:455745	2011.11
Human_swiss_sp|O14638|ENPP3_HUMAN	K01513	Animals	Mammals	Nomascus	nle:100603928	1767.28
Human_swiss_sp|O43451|MGA_HUMAN	K12047	Animals	Mammals	Pan	ptr:463789	3535.35
Human_swiss_sp|O43895|XPP2_HUMAN	K14208	Animals	Mammals	Nomascus	nle:100605868	1353.19
Human_swiss_sp|O60494|CUBN_HUMAN	K14616	Animals	Mammals	Pan	ptr:450327	7560.68
Human_swiss_sp|O60814|H2B1K_HUMAN	K11252	Animals	Mammals	Delphinapterus	dle:111168525	209.92
Human_swiss_sp|O60844|ZG16_HUMAN	K25747	Animals	Mammals	Pan	ptr:107966320	316.62
Human_swiss_sp|O75112|LDB3_HUMAN	K19867	Animals	Mammals	Macaca	mcc:697140	1240.71
Human_swiss_sp|O75306|NDUS2_HUMAN	K03935	Animals	Mammals	Pan	ptr:747334	954.125
Human_swiss_sp|O75882|ATRN_HUMAN	K24332	Animals	Mammals	Pan	ptr:458060	2885.52
Human_swiss_sp|O94832|MYO1D_HUMAN	K10356	Animals	Mammals	Nomascus	nle:100596491	2006.49
Human_swiss_sp|O95497|VNN1_HUMAN	K08069	Animals	Mammals	Pan	ptr:746544	1035.79
Human_swiss_sp|P00441|SODC_HUMAN	K04565	Animals	Mammals	Pan	ptr:449637	320.857
Human_swiss_sp|P01008|ANT3_HUMAN	K03911	Animals	Mammals	Pan	ptr:457528	922.154
Human_swiss_sp|P01009|A1AT_HUMAN	K03984	Animals	Mammals	Pan	ptr:467541	827.394
Human_swiss_sp|P01023|A2MG_HUMAN	K03910	Animals	Mammals	Pan	ptr:465372	2890.52
Human_swiss_sp|P01591|IGJ_HUMAN	K25567	Animals	Mammals	Pan	ptr:461276	327.02
Human_swiss_sp|P01764|HV323_HUMAN		Animals	Mammals	Equus	epz:103542403	214.542
Human_swiss_sp|P01782|HV309_HUMAN		Animals	Mammals	Equus	epz:103542403	214.927
Human_swiss_sp|P01833|PIGR_HUMAN	K13073	Animals	Mammals	Pan	ptr:457685	1435.62
Human_swiss_sp|P01834|IGKC_HUMAN		Animals	Mammals	Gorilla	ggo:101151870	195.282
Human_swiss_sp|P01857|IGHG1_HUMAN	K06856	Animals	Mammals	Sus	ssc:396781	463.381
Human_swiss_sp|P01871|IGHM_HUMAN	K19720	Animals	Mammals	Balaenoptera	bacu:103000818	653.284
Human_swiss_sp|P01876|IGHA1_HUMAN	K06856	Animals	Mammals	Bos	bta:524810	475.707
Human_swiss_sp|P01903|DRA_HUMAN	K06752	Animals	Mammals	Pan	ptr:462591	494.582
Human_swiss_sp|P02647|APOA1_HUMAN	K08757	Animals	Mammals	Pan	ptr:107967226	519.235
Human_swiss_sp|P02766|TTHY_HUMAN	K20731	Animals	Mammals	Pan	ptr:493188	287.73
Human_swiss_sp|P02768|ALBU_HUMAN	K16141	Animals	Mammals	Pan	ptr:461260	1237.25
Human_swiss_sp|P02788|TRFL_HUMAN	K17283	Animals	Mammals	Nomascus	nle:100581103	1336.24
Human_swiss_sp|P02792|FRIL_HUMAN	K13625	Animals	Mammals	Nomascus	nle:100592671	347.821
Human_swiss_sp|P02794|FRIH_HUMAN	K00522	Animals	Mammals	Pan	ptr:738986	377.481
Human_swiss_sp|P04054|PA21B_HUMAN	K01047	Animals	Mammals	Pan	ptr:742280	295.819
Human_swiss_sp|P04066|FUCO_HUMAN	K01206	Animals	Mammals	Pan	ptr:469222	995.727
Human_swiss_sp|P04075|ALDOA_HUMAN	K01623	Animals	Reptiles	Chelonoidis	cabi:116819368	714.916
Human_swiss_sp|P04118|COL_HUMAN	K14460	Animals	Mammals	Nomascus	nle:100593647	221.09
Human_swiss_sp|P04264|K2C1_HUMAN	K07605	Animals	Mammals	Pan	ptr:738375	693.73
Human_swiss_sp|P04406|G3P_HUMAN	K00134	Animals	Reptiles	Chelonoidis	cabi:116816504	674.085
Human_swiss_sp|P04439|HLAA_HUMAN	K06751	Animals	Mammals	Nomascus	nle:100587765	664.84
Human_swiss_sp|P04746|AMYP_HUMAN	K01176	Animals	Mammals	Pan	ptr:457067	1082.4
Human_swiss_sp|P05026|AT1B1_HUMAN	K01540	Animals	Mammals	Pan	ptr:457497	628.632
Human_swiss_sp|P05109|S10A8_HUMAN	K21127	Animals	Mammals	Pan	ptr:457319	191.43
Human_swiss_sp|P05164|PERM_HUMAN	K10789	Animals	Mammals	Pan	ptr:748680	1491.48
Human_swiss_sp|P05451|REG1A_HUMAN	K25727	Animals	Mammals	Pan	ptr:459348	352.829
Human_swiss_sp|P05976|MYL1_HUMAN	K05738	Animals	Mammals	Macaca	mcc:711561	325.865
Human_swiss_sp|P06702|S10A9_HUMAN	K21128	Animals	Mammals	Pan	ptr:457998	239.195
Human_swiss_sp|P06731|CEAM5_HUMAN	K06499	Animals	Mammals	Pan	ptr:456062	1378.62
Human_swiss_sp|P06732|KCRM_HUMAN	K27382	Animals	Mammals	Pan	ptr:744935	779.63
Human_swiss_sp|P06744|G6PI_HUMAN	K01810	Animals	Mammals	Nomascus	nle:100584474	1137.09
Human_swiss_sp|P06748|NPM_HUMAN	K11276	Animals	Mammals	Nomascus	nle:100604251	520.005
Human_swiss_sp|P07148|FABPL_HUMAN	K08750	Animals	Mammals	Pan	ptr:736471	249.595
Human_swiss_sp|P07355|ANXA2_HUMAN	K17092	Animals	Mammals	Pan	ptr:747018	668.692
Human_swiss_sp|P07437|TBB5_HUMAN	K07375	Animals	Birds	Gallus	gga:396254	867.07
Human_swiss_sp|P07477|TRY1_HUMAN	K01312	Animals	Mammals	Pan	ptr:742453	479.174
Human_swiss_sp|P07478|TRY2_HUMAN	K01312	Animals	Mammals	Pan	ptr:100615529	489.96
Human_swiss_sp|P08217|CEL2A_HUMAN	K01346	Animals	Mammals	Pan	ptr:747215	554.288
Human_swiss_sp|P08237|PFKAM_HUMAN	K00850	Animals	Mammals	Pan	ptr:451863	1548.87
Human_swiss_sp|P08311|CATG_HUMAN	K01319	Animals	Mammals	Pan	ptr:467413	477.248
Human_swiss_sp|P08473|NEP_HUMAN	K01389	Animals	Mammals	Pan	ptr:460792	1479.54
Human_swiss_sp|P08758|ANXA5_HUMAN	K16646	Animals	Mammals	Pan	ptr:461466	620.928
Human_swiss_sp|P08861|CEL3B_HUMAN	K01345	Animals	Mammals	Pan	ptr:456491	543.888
Human_swiss_sp|P09093|CEL3A_HUMAN	K01345	Animals	Mammals	Pan	ptr:749169	530.02
Human_swiss_sp|P09327|VILI_HUMAN	K05761	Animals	Mammals	Pan	ptr:470646	1662.12
Human_swiss_sp|P09493|TPM1_HUMAN	K10373	Animals	Mammals	Mus	mmu:22003	501.516
Human_swiss_sp|P09525|ANXA4_HUMAN	K17093	Animals	Mammals	Nomascus	nle:100601937	623.239
Human_swiss_sp|P09923|PPBI_HUMAN	K01077	Animals	Mammals	Pan	ptr:100614390	1011.13
Human_swiss_sp|P0DOX2|IGA2_HUMAN	K06856	Animals	Mammals	Bos	bta:524810	574.704
Human_swiss_sp|P0DOY2|IGLC2_HUMAN		Animals	Mammals	Pan	ptr:101057112	213.001
Human_swiss_sp|P10153|RNAS2_HUMAN	K01168	Animals	Mammals	Pan	ptr:473325	332.413
Human_swiss_sp|P11142|HSP7C_HUMAN	K03283	Animals	Mammals	Dipodomys	dord:105980747	1197.57
Human_swiss_sp|P11217|PYGM_HUMAN	K00688	Animals	Mammals	Pan	ptr:451299	1689.86
Human_swiss_sp|P11678|PERE_HUMAN	K10788	Animals	Mammals	Pan	ptr:468420	1425.99
Human_swiss_sp|P12273|PIP_HUMAN	K25717	Animals	Mammals	Pan	ptr:494144	286.189
Human_swiss_sp|P12429|ANXA3_HUMAN	K17089	Animals	Mammals	Pan	ptr:737760	631.713
Human_swiss_sp|P12814|ACTN1_HUMAN	K05699	Animals	Mammals	Lemur	lcat:123647516	1801.56
Human_swiss_sp|P12821|ACE_HUMAN	K01283	Animals	Mammals	Pan	ptr:449567	2644
Human_swiss_sp|P12882|MYH1_HUMAN	K24220	Animals	Mammals	Pan	ptr:745774	3561.93
Human_swiss_sp|P12883|MYH7_HUMAN	K17751	Animals	Mammals	Pan	ptr:745215	3586.19
Human_swiss_sp|P13645|K1C10_HUMAN	K07604	Animals	Mammals	Pan	ptr:468240	622.083
Human_swiss_sp|P13727|PRG2_HUMAN	K10786	Animals	Mammals	Pan	ptr:100612951	417.542
Human_swiss_sp|P13929|ENOB_HUMAN	K01689	Animals	Mammals	Pan	ptr:454457	850.121
Human_swiss_sp|P14410|SUIS_HUMAN	K01203	Animals	Mammals	Pan	ptr:470988	3748.36
Human_swiss_sp|P14555|PA2GA_HUMAN	K01047	Animals	Mammals	Pan	ptr:456587	303.138
Human_swiss_sp|P14618|KPYM_HUMAN	K00873	Animals	Mammals	Macaca	mcc:697742	1049.27
Human_swiss_sp|P15085|CBPA1_HUMAN	K08779	Animals	Mammals	Pan	ptr:100614351	841.647
Human_swiss_sp|P15086|CBPB1_HUMAN	K01291	Animals	Mammals	Pan	ptr:460763	821.231
Human_swiss_sp|P15144|AMPN_HUMAN	K11140	Animals	Mammals	Pan	ptr:107968418	1899.79
Human_swiss_sp|P15814|IGLL1_HUMAN	K06554	Animals	Mammals	Pan	ptr:104003698	384.8
Human_swiss_sp|P15880|RS2_HUMAN	K02981	Animals	Mammals	Lemur	lcat:123631473	494.967
Human_swiss_sp|P16233|LIPP_HUMAN	K14073	Animals	Mammals	Pan	ptr:739640	967.222
Human_swiss_sp|P16444|DPEP1_HUMAN	K01273	Animals	Mammals	Pan	ptr:739771	806.594
Human_swiss_sp|P17538|CTRB1_HUMAN	K01310	Animals	Mammals	Nomascus	nle:115836698	516.153
Human_swiss_sp|P19835|CEL_HUMAN	K12298	Animals	Mammals	Pan	ptr:473081	1316.98
Human_swiss_sp|P19961|AMY2B_HUMAN	K01176	Animals	Mammals	Pan	ptr:457067	1094.72
Human_swiss_sp|P20042|IF2B_HUMAN	K03238	Animals	Mammals	Nomascus	nle:100603124	641.728
Human_swiss_sp|P20929|NEBU_HUMAN	K18267	Animals	Mammals	Tupaia	tup:102476536	12927.7
Human_swiss_sp|P21589|5NTD_HUMAN	K19970	Animals	Mammals	Pan	ptr:462864	1134.01
Human_swiss_sp|P21796|VDAC1_HUMAN	K05862	Animals	Mammals	Pan	ptr:745717	574.318
Human_swiss_sp|P22695|QCR2_HUMAN	K00415	Animals	Mammals	Pan	ptr:468094	840.106
Human_swiss_sp|P22748|CAH4_HUMAN	K18246	Animals	Mammals	Pan	ptr:454807	583.948
Human_swiss_sp|P25311|ZA2G_HUMAN		Animals	Mammals	Pan	ptr:737709	603.208
Human_swiss_sp|P27487|DPP4_HUMAN	K01278	Animals	Mammals	Pan	ptr:459689	1561.97
Human_swiss_sp|P28799|GRN_HUMAN	K23879	Animals	Mammals	Pan	ptr:454728	1349.34
Human_swiss_sp|P28838|AMPL_HUMAN	K11142	Animals	Mammals	Pan	ptr:461132	1015.76
Human_swiss_sp|P30740|ILEU_HUMAN	K23425	Animals	Mammals	Pan	ptr:471841	719.539
Human_swiss_sp|P35527|K1C9_HUMAN	K07604	Animals	Mammals	Pan	ptr:454664	648.277
Human_swiss_sp|P35749|MYH11_HUMAN	K10352	Animals	Mammals	Nomascus	nle:100601489	3571.94
Human_swiss_sp|P35908|K22E_HUMAN	K07605	Animals	Mammals	Pan	ptr:738196	700.664
Human_swiss_sp|P40199|CEAM6_HUMAN	K06499	Animals	Mammals	Pan	ptr:100614697	685.641
Human_swiss_sp|P45378|TNNT3_HUMAN	K12046	Animals	Mammals	Pan	ptr:746911	390.578
Human_swiss_sp|P48052|CBPA2_HUMAN	K01298	Animals	Mammals	Pan	ptr:742070	850.121
Human_swiss_sp|P48735|IDHP_HUMAN	K00031	Animals	Mammals	Pan	ptr:453645	921.383
Human_swiss_sp|P49411|EFTU_HUMAN	K02358	Animals	Mammals	Pan	ptr:454018	870.922
Human_swiss_sp|P50416|CPT1A_HUMAN	K08765	Animals	Mammals	Pan	ptr:451382	1580.07
Human_swiss_sp|P50995|ANX11_HUMAN	K17095	Animals	Mammals	Macaca	mcc:707628	770.77
Human_swiss_sp|P53801|PTTG_HUMAN	K26099	Animals	Mammals	Nomascus	nle:100600004	306.99
Human_swiss_sp|P55259|GP2_HUMAN	K19899	Animals	Mammals	Pan	ptr:741636	1084.32
Human_swiss_sp|P56470|LEG4_HUMAN	K10091	Animals	Mammals	Pan	ptr:456011	648.662
Human_swiss_sp|P60174|TPIS_HUMAN	K01803	Animals	Mammals	Nomascus	nle:100593490	502.671
Human_swiss_sp|P60709|ACTB_HUMAN	K05692	Animals	Mammals	Galeopterus	gvr:103593038	759.599
Human_swiss_sp|P61204|ARF3_HUMAN	K07938	Animals	Mammals	Echinops	etf:101648894	366.311
Human_swiss_sp|P61224|RAP1B_HUMAN	K07836	Animals	Mammals	Castor	ccan:109699305	362.844
Human_swiss_sp|P62258|1433E_HUMAN	K06630	Animals	Mammals	Bos	bta:282125	504.597
Human_swiss_sp|P62736|ACTA_HUMAN	K12313	Animals	Mammals	Sarcophilus	shr:100916692	765.377
Human_swiss_sp|P62805|H4_HUMAN		Animals	Mammals	Pteronotus	ppam:129063801	185.652
Human_swiss_sp|P63173|RL38_HUMAN	K02923	Animals	Birds	Gallus	gga:771528	120.168
Human_swiss_sp|P63316|TNNC1_HUMAN	K05865	Animals	Mammals	Pan	ptr:746369	315.849
Human_swiss_sp|P68871|HBB_HUMAN	K13823	Animals	Mammals	Pan	ptr:450978	305.064
Human_swiss_sp|P69905|HBA_HUMAN	K13822	Animals	Mammals	Pan	ptr:732485	286.96
Human_swiss_sp|P80365|DHI2_HUMAN	K00071	Animals	Mammals	Pan	ptr:468001	721.465
Human_swiss_sp|P98073|ENTK_HUMAN	K01316	Animals	Mammals	Pan	ptr:458478	2071.2
Human_swiss_sp|P98088|MUC5A_HUMAN	K13908	Animals	Mammals	Pan	ptr:742948	4299.58
Human_swiss_sp|Q00872|MYPC1_HUMAN	K12557	Animals	Mammals	Pan	ptr:452173	2191.39
Human_swiss_sp|Q02817|MUC2_HUMAN	K10955	Animals	Mammals	Pan	ptr:745783	2907.47
Human_swiss_sp|Q03154|ACY1_HUMAN	K14677	Animals	Mammals	Pan	ptr:460414	813.142
Human_swiss_sp|Q03403|TFF2_HUMAN	K22453	Animals	Mammals	Pan	ptr:470096	275.404
Human_swiss_sp|Q04609|FOLH1_HUMAN	K14592	Animals	Mammals	Pan	ptr:451475	1494.18
Human_swiss_sp|Q05639|EF1A2_HUMAN	K03231	Animals	Mammals	Camelus	cfr:102522434	932.939
Human_swiss_sp|Q07654|TFF3_HUMAN	K22454	Animals	Mammals	Pan	ptr:474124	176.407
Human_swiss_sp|Q07837|SLC31_HUMAN	K14210	Animals	Mammals	Pan	ptr:459194	1377.84
Human_swiss_sp|Q08043|ACTN3_HUMAN	K21073	Animals	Mammals	Pan	ptr:466680	1758.04
Human_swiss_sp|Q08380|LG3BP_HUMAN	K17300	Animals	Mammals	Pan	ptr:454930	1168.3
Human_swiss_sp|Q12864|CAD17_HUMAN	K06811	Animals	Mammals	Pan	ptr:464286	1616.67
Human_swiss_sp|Q12929|EPS8_HUMAN	K17277	Animals	Mammals	Pan	ptr:473379	1521.91
Human_swiss_sp|Q13228|SBP1_HUMAN	K17285	Animals	Mammals	Macaca	mcc:716741	981.089
Human_swiss_sp|Q13642|FHL1_HUMAN	K14365	Animals	Mammals	Pan	ptr:747985	721.465
Human_swiss_sp|Q14002|CEAM7_HUMAN	K06499	Animals	Mammals	Pan	ptr:468892	531.561
Human_swiss_sp|Q14315|FLNC_HUMAN	K04437	Animals	Mammals	Macaca	mcc:700223	5517.97
Human_swiss_sp|Q14CN2|CLCA4_HUMAN	K05030	Animals	Mammals	Nomascus	nle:100604855	1730.3
Human_swiss_sp|Q16651|PRSS8_HUMAN	K08664	Animals	Mammals	Pan	ptr:454065	677.167
Human_swiss_sp|Q16819|MEP1A_HUMAN	K01395	Animals	Mammals	Pan	ptr:462745	1514.98
Human_swiss_sp|Q16820|MEP1B_HUMAN	K08606	Animals	Mammals	Pan	ptr:468515	1440.63
Human_swiss_sp|Q6P4A8|PLBL1_HUMAN		Animals	Mammals	Pan	ptr:465304	1090.1
Human_swiss_sp|Q6PIF6|MYO7B_HUMAN	K21868	Animals	Mammals	Pan	ptr:459596	4176.32
Human_swiss_sp|Q6UWV6|ENPP7_HUMAN	K12354	Animals	Mammals	Pan	ptr:742055	911.368
Human_swiss_sp|Q6UX06|OLFM4_HUMAN	K25447	Animals	Mammals	Pan	ptr:467367	938.332
Human_swiss_sp|Q6W4X9|MUC6_HUMAN	K22023	Animals	Mammals	Nomascus	nle:100579916	4002.98
Human_swiss_sp|Q7L5L3|GDPD3_HUMAN	K22387	Animals	Mammals	Pan	ptr:739446	645.966
Human_swiss_sp|Q86UP6|CUZD1_HUMAN	K24793	Animals	Mammals	Pan	ptr:466224	1209.51
Human_swiss_sp|Q86Y39|NDUAB_HUMAN	K03956	Animals	Mammals	Pan	ptr:739803	287.73
Human_swiss_sp|Q86YZ3|HORN_HUMAN	K23757	Animals	Mammals	Pan	ptr:469491	592.423
Human_swiss_sp|Q8TE67|ES8L3_HUMAN	K17277	Animals	Mammals	Nomascus	nle:100589393	1117.83
Human_swiss_sp|Q8WUM4|PDC6I_HUMAN	K12200	Animals	Mammals	Pan	ptr:470783	1503.8
Human_swiss_sp|Q8WWU7|ITLN2_HUMAN	K17527	Animals	Mammals	Pan	ptr:457441	674.855
Human_swiss_sp|Q8WZ42|TITIN_HUMAN	K12567	Animals	Mammals	Pan	ptr:459784	44580.7
Human_swiss_sp|Q92485|ASM3B_HUMAN	K01128	Animals	Mammals	Pan	ptr:456681	918.687
Human_swiss_sp|Q96JP2|MY15B_HUMAN	K10361	Animals	Mammals	Pan	ptr:454883	2419.81
Human_swiss_sp|Q99102|MUC4_HUMAN	K22017	Animals	Mammals	Pan	ptr:460952	6912.39
Human_swiss_sp|Q99895|CTRC_HUMAN	K01311	Animals	Mammals	Pan	ptr:739685	529.635
Human_swiss_sp|Q9BS40|LXN_HUMAN	K23594	Animals	Mammals	Nomascus	nle:100600526	459.529
Human_swiss_sp|Q9BV40|VAMP8_HUMAN	K08512	Animals	Mammals	Macaca	mcc:695851	181.415
Human_swiss_sp|Q9BYE9|CDHR2_HUMAN	K16502	Animals	Mammals	Pan	ptr:462292	2456.79
Human_swiss_sp|Q9H3R2|MUC13_HUMAN	K17298	Animals	Mammals	Pan	ptr:460647	918.687
Human_swiss_sp|Q9HAT2|SIAE_HUMAN	K05970	Animals	Mammals	Pan	ptr:451636	1068.14
Human_swiss_sp|Q9HC84|MUC5B_HUMAN	K13908	Animals	Mammals	Nomascus	nle:100588600	3740.66
Human_swiss_sp|Q9UGM3|DMBT1_HUMAN	K13912	Animals	Mammals	Pan	ptr:466221	4074.24
Human_swiss_sp|Q9UKX2|MYH2_HUMAN	K24220	Animals	Mammals	Pan	ptr:455073	3559.23
